case,config,status,V1,rounds,peak,L1,build_seconds
deutsch_n2,full,OK,12,10,5,20,0.12
deutsch_n2,no_reduce,OK,12,10,5,20,0.15
deutsch_n2,no_place,OK,12,10,5,20,0.14
deutsch_n2,no_fui,OK,12,10,5,20,0.14
deutsch_n2,no_schedpar,OK,12,10,5,20,0.32
deutsch_n2,no_live,OK,12,10,5,20,0.14
deutsch_n2,no_sched,OK,12,10,5,20,0.13
deutsch_n2,no_parallel,OK,12,10,5,20,0.13
grover_n2,full,OK,1.33333,2,2,4,0.03
grover_n2,no_reduce,OK,1.33333,2,2,4,0.02
grover_n2,no_place,OK,1.33333,2,2,4,0.02
grover_n2,no_fui,OK,1.33333,2,2,4,0.02
grover_n2,no_schedpar,OK,1.33333,2,2,4,0.02
grover_n2,no_live,OK,1.33333,2,2,4,0.02
grover_n2,no_sched,OK,1.33333,2,2,4,0.02
grover_n2,no_parallel,OK,1.33333,2,2,4,0.02
iswap_n2,full,OK,1.33333,2,2,4,0.02
iswap_n2,no_reduce,OK,1.33333,2,2,4,0.02
iswap_n2,no_place,OK,1.33333,2,2,4,0.02
iswap_n2,no_fui,OK,1.33333,2,2,4,0.02
iswap_n2,no_schedpar,OK,1.33333,2,2,4,0.03
iswap_n2,no_live,OK,1.33333,2,2,4,0.02
iswap_n2,no_sched,OK,1.33333,2,2,4,0.02
iswap_n2,no_parallel,OK,1.33333,2,2,4,0.02
cat_state_n4,full,OK,2.66667,2,4,8,0.33
cat_state_n4,no_reduce,OK,25.6667,16,7,49,0.54
cat_state_n4,no_place,OK,2.66667,2,4,8,0.03
cat_state_n4,no_fui,OK,2.66667,2,4,8,0.23
cat_state_n4,no_schedpar,OK,2.66667,2,4,8,0.35
cat_state_n4,no_live,OK,2.66667,2,4,8,0.23
cat_state_n4,no_sched,OK,2.66667,2,4,8,0.22
cat_state_n4,no_parallel,OK,2.66667,2,4,8,0.23
hs4_n4,full,OK,2.66667,2,4,8,0.31
hs4_n4,no_reduce,OK,2.66667,2,4,8,0.31
hs4_n4,no_place,OK,2.66667,2,4,8,0.03
hs4_n4,no_fui,OK,2.66667,2,4,8,0.23
hs4_n4,no_schedpar,OK,2.66667,2,4,8,0.39
hs4_n4,no_live,OK,2.66667,2,4,8,0.23
hs4_n4,no_sched,OK,2.66667,2,4,8,0.23
hs4_n4,no_parallel,OK,2.66667,2,4,8,0.22
qrng_n4,full,OK,2.66667,2,4,8,0.49
qrng_n4,no_reduce,OK,2.66667,2,4,8,0.26
qrng_n4,no_place,OK,2.66667,2,4,8,0.03
qrng_n4,no_fui,OK,2.66667,2,4,8,0.23
qrng_n4,no_schedpar,OK,2.66667,2,4,8,0.35
qrng_n4,no_live,OK,2.66667,2,4,8,0.22
qrng_n4,no_sched,OK,2.66667,2,4,8,0.22
qrng_n4,no_parallel,OK,2.66667,2,4,8,0.22
twistedghz_4,full,OK,35.6667,18,8,83,1.24
twistedghz_4,no_reduce,OK,44.6667,25,10,74,0.86
twistedghz_4,no_place,OK,38.3333,18,10,83,0.82
twistedghz_4,no_fui,OK,38,17,9,90,1.23
twistedghz_4,no_schedpar,OK,35.6667,18,8,83,1.19
twistedghz_4,no_live,OK,36,17,9,84,0.93
twistedghz_4,no_sched,OK,35.6667,18,8,83,0.99
twistedghz_4,no_parallel,OK,35.6667,18,8,83,0.89
